,model_name,window_size,units,batch_size,learning_rate,dense_units,dropout_rate,best_val_loss,best_epoch,final_train_loss,epochs,time
350,lstm_dropout,12,128,4,0.005,64.0,0.2,0.04062105342745781,36,0.017270630225539207,46,11.007622480392456
351,lstm_dropout,12,32,4,0.01,64.0,0.2,0.05003626272082329,12,0.024065973237156868,22,4.954521179199219
352,lstm_dropout,12,64,4,0.01,64.0,0.2,0.04697005823254585,22,0.014314561150968075,32,6.97591757774353
353,lstm_dropout,12,128,4,0.01,64.0,0.2,0.03124632127583027,45,0.009234716184437275,55,12.846188306808472
354,lstm_dropout,12,32,4,0.005,128.0,0.05,0.07307552546262741,10,0.015802357345819473,20,4.59108567237854
355,lstm_dropout,12,64,4,0.005,128.0,0.05,0.049835626035928726,21,0.013852647505700588,31,6.84667706489563
356,lstm_dropout,12,128,4,0.005,128.0,0.05,0.04471359774470329,14,0.017810167744755745,24,6.581402778625488
357,lstm_dropout,12,32,4,0.01,128.0,0.05,0.05556769296526909,15,0.016235925257205963,25,5.385502576828003
358,lstm_dropout,12,64,4,0.01,128.0,0.05,0.045802708715200424,19,0.017900994047522545,29,6.401948928833008
359,lstm_dropout,12,128,4,0.01,128.0,0.05,0.04340396448969841,27,0.013227052055299282,37,9.253237962722778
360,lstm_dropout,12,32,4,0.005,128.0,0.1,0.05972552299499512,18,0.014419585466384888,28,5.899082660675049
361,lstm_dropout,12,64,4,0.005,128.0,0.1,0.05105842649936676,15,0.018907904624938965,25,5.990828275680542
362,lstm_dropout,12,128,4,0.005,128.0,0.1,0.04355202615261078,14,0.02296767383813858,24,6.5041725635528564
363,lstm_dropout,12,32,4,0.01,128.0,0.1,0.04988604784011841,18,0.018520699813961983,28,5.889945983886719
364,lstm_dropout,12,64,4,0.01,128.0,0.1,0.056241098791360855,16,0.02171238511800766,26,5.766305685043335
365,lstm_dropout,12,128,4,0.01,128.0,0.1,0.04419010877609253,38,0.015749404206871986,48,11.125662326812744
366,lstm_dropout,12,32,4,0.005,128.0,0.2,0.06903619319200516,17,0.015574880875647068,27,5.665335416793823
367,lstm_dropout,12,64,4,0.005,128.0,0.2,0.05222824588418007,16,0.022413164377212524,26,5.9467082023620605
368,lstm_dropout,12,128,4,0.005,128.0,0.2,0.04048897698521614,15,0.021602841094136238,25,6.675597190856934
369,lstm_dropout,12,32,4,0.01,128.0,0.2,0.05173178017139435,12,0.03036549687385559,22,4.8931684494018555
370,lstm_dropout,12,64,4,0.01,128.0,0.2,0.042354922741651535,15,0.02302524633705616,25,5.735459327697754
